word,pronunciation
aardvark,ɑrdvɑrk
aaron,ɛrən
aback,əbæk
abacus,æbəkəs
abalone,æbəloʊni
abandon,əbændən
abandoned,əbændənd
abandonment,əbændənmənt
abandons,əbændənz
abash,əbæʃ
abashed,əbæʃt
abate,əbeɪt
abated,əbeɪtɪd
abatement,əbeɪtmənt
abates,əbeɪts
abbe,æbi
abbey,æbi
abbot,æbət
abbreviate,əbrivieɪt
abbreviated,əbrivieɪtɪd
abbreviates,əbrivieɪts
abbreviating,əbrivieɪtɪŋ
abbreviation,əbrivieɪʃən
abbreviations,əbrivieɪʃənz
abdicate,æbdəkeɪt
abdicated,æbdəkeɪtəd
abdicates,æbdəkeɪts
abdicating,æbdɪkeɪtɪŋ
abdication,æbdɪkeɪʃən
abdomen,æbdəmən
abdominal,əbdɑmənəl
abduct,æbdəkt
abducted,əbdəktɪd
abducting,əbdəktɪŋ
abduction,əbdəkʃən
abductions,əbdəkʃənz
abductor,əbdəktər
abductors,əbdəktərz
abducts,æbdəkts
abe,eɪb
abel,eɪbəl
abele,əbɛl
aberdeen,æbərdin
aberrant,æbɛrənt
aberration,æbəreɪʃən
aberrations,æbəreɪʃənz
abet,əbɛt
abetted,əbɛtɪd
abetting,əbɛtɪŋ
abeyance,əbeɪəns
abhor,æbhɔr
abhorred,əbhɔrd
abhorrence,əbhɔrəns
abhorrent,æbhɔrənt
abhors,əbhɔrz
abide,əbaɪd
abided,əbaɪdɪd
abides,əbaɪdz
abiding,əbaɪdɪŋ
abidjan,æbɪʤɑn
abilities,əbɪlətiz
ability,əbɪləti
abject,æbʤɛkt
ablaze,əbleɪz
able,eɪbəl
abler,eɪbələr
ablest,eɪbəlst
abloom,əblum
ably,eɪbli
abnegation,æbnɛgeɪʃən
abnormal,æbnɔrməl
abnormalities,æbnɔrmælətiz
abnormality,æbnɔrmæləti
abnormally,æbnɔrməli
aboard,əbɔrd
abode,əboʊd
abolish,əbɑlɪʃ
abolished,əbɑlɪʃt
abolishes,əbɑlɪʃɪz
abolishing,əbɑlɪʃɪŋ
abolition,æbəlɪʃən
abolitionist,æbəlɪʃənəst
abolitionists,æbəlɪʃənəsts
abominable,əbɑmənəbəl
abomination,əbɑməneɪʃən
abominations,əbɑməneɪʃənz
aboriginal,æbərɪʤənəl
aborigines,æbərɪʤəniz
abort,əbɔrt
aborted,əbɔrtɪd
aborting,əbɔrtɪŋ
abortion,əbɔrʃən
abortionist,əbɔrʃənɪst
abortionists,əbɔrʃənɪsts
abortions,əbɔrʃənz
abortive,əbɔrtɪv
aborts,əbɔrts
abound,əbaʊnd
abounded,əbaʊndɪd
abounding,əbaʊndɪŋ
abounds,əbaʊndz
about,əbaʊt
above,əbəv
abraham,eɪbrəhæm
abrasion,əbreɪʒən
abrasions,əbreɪʒənz
abrasive,əbreɪsɪv
abrasives,əbreɪsɪvz
abreast,əbrɛst
abridge,əbrɪʤ
abridged,əbrɪʤd
abridgement,əbrɪʤmənt
abridging,əbrɪʤɪŋ
abroad,əbrɔd
abrogate,æbrəgeɪt
abrogated,æbrəgeɪtɪd
abrogating,æbrəgeɪtɪŋ
abrogation,æbrəgeɪʃən
abrupt,əbrəpt
abruptly,əbrəptli
abruptness,əbrəptnəs
abscess,æbsɛs
abscond,æbskɑnd
absconded,æbskɑndəd
absconding,æbskɑndɪŋ
absconds,æbskɑndz
absence,æbsəns
absences,æbsənsɪz
absent,æbsənt
absentee,æbsənti
absenteeism,æbsəntiɪzəm
absentees,æbsəntiz
absolute,æbsəlut
absolutely,æbsəlutli
absoluteness,æbsəlutnəs
absolutes,æbsəluts
absolution,æbsəluʃən
absolutism,æbsəlutɪzəm
absolutist,æbsəlutɪst
absolve,əbzɑlv
absolved,əbzɑlvd
absolves,əbzɑlvz
absolving,əbzɑlvɪŋ
absorb,əbzɔrb
absorbed,əbzɔrbd
absorbency,əbzɔrbənsi
absorbent,əbzɔrbənt
absorber,əbzɔrbər
